;Filename;Qubit 1 state;Qubit 2 state;Qubit 3 state;Qubit 4 state
0;760e3945-e0c9-4c9a-b78a-a68fbbee05cd.png;0.0;1.0;1.0;1.0
1;bc09db3b-dedf-49da-946c-efdf2304551b.png;1.0;0.0;1.0;1.0
2;45da543d-c099-4e17-9e18-f3c2776ae8b7.png;0.0;1.0;1.0;1.0
3;fbe18a1d-a194-4581-ad61-8aff1dcf045d.png;1.0;0.0;1.0;1.0
4;ccb1fa64-1a46-4680-82e3-178495a9121c.png;1.0;1.0;0.0;1.0
5;2067c2f1-a36b-4892-b96e-43028b0fea2d.png;1.0;1.0;1.0;1.0
6;687e714c-d32b-4c6b-9e26-d9dea275bccd.png;1.0;1.0;1.0;1.0
7;1813bf7c-24cc-4af0-a032-b70cfa74fbfa.png;1.0;0.0;1.0;1.0
8;7fd7c561-7522-46aa-b95b-9b66353eb63c.png;1.0;1.0;1.0;1.0
9;0f1ef869-4992-4a1a-af0d-9ed7dbc8d0fc.png;1.0;1.0;0.0;1.0
10;2a39a130-3c38-4270-8efc-458a3b0a0033.png;1.0;1.0;0.0;0.0
